"State","Carbon Pools","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama","Total Forest Ecosystem",1071.49,1083.62,1095.75,1107.89,1120.03,1132.16,1144.3,1156.44,1168.48,1180.43,1192.27,1204.02,1215.67,1227.22,1238.68,1250.25,1261.96,1273.78,1285.73,1297.81,1310.01,1322.33,1334.89,1347.69,1360.72,1373.99,1387.5,1401.25,1414.81,1428.19,1441.38,1454.38,1467.19
"Alabama","Aboveground Biomass",289.83,299.29,308.74,318.18,327.63,337.06,346.5,355.93,365.27,374.53,383.71,392.8,401.81,410.74,419.58,428.5,437.51,446.6,455.78,465.04,474.39,483.81,493.41,503.17,513.1,523.19,533.45,543.88,554.18,564.34,574.38,584.29,594.07
"Alabama","Belowground Biomass",54.53,56.52,58.51,60.49,62.48,64.46,66.44,68.42,70.39,72.33,74.26,76.16,78.05,79.92,81.77,83.64,85.52,87.42,89.33,91.26,93.2,95.16,97.15,99.16,101.21,103.29,105.39,107.53,109.64,111.72,113.77,115.79,117.79
"Alabama","Dead Wood",44.58,45.71,46.83,47.96,49.08,50.2,51.32,52.44,53.55,54.65,55.73,56.81,57.87,58.92,59.97,61.01,62.06,63.1,64.15,65.2,66.26,67.31,68.37,69.44,70.51,71.59,72.68,73.77,74.85,75.91,76.96,77.99,79.01
"Alabama","Litter",49.39,49.68,49.96,50.24,50.53,50.81,51.1,51.39,51.67,51.95,52.23,52.51,52.78,53.05,53.31,53.57,53.83,54.09,54.35,54.6,54.85,55.1,55.34,55.58,55.81,56.04,56.27,56.49,56.69,56.89,57.08,57.25,57.42
"Alabama","Soil (Mineral)",631.77,631.05,630.34,629.63,628.93,628.24,627.55,626.88,626.22,625.58,624.96,624.35,623.77,623.21,622.66,622.14,621.64,621.18,620.73,620.32,619.92,619.56,619.23,618.94,618.7,618.49,618.32,618.19,618.06,617.93,617.79,617.65,617.51
"Alabama","Soil (Organic)",1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.4,1.4,1.4,1.4,1.4
"Alaska","Total Forest Ecosystem",10374.11,10374.54,10376.66,10381.3,10385.6,10389.84,10394.22,10398.2,10402.83,10405.74,10407.91,10410.51,10414.05,10409.34,10411.71,10388.4,10382.25,10385.81,10388.8,10393.44,10388.59,10390.31,10394.07,10397.09,10394.96,10398.92,10375.49,10379.94,10381.14,10380.13,10368.39,10373.51,10376.63
"Alaska","Aboveground Biomass",819.26,822.26,825.63,829.44,833.18,836.96,840.75,844.42,848.24,851.9,855.29,858.82,862.54,864.65,868,868,870.15,873.74,877.21,881.03,883.54,886.96,890.67,894.13,896.57,899.96,897.59,901.73,904.32,906.37,905.97,909.95,913.44
"Alaska","Belowground Biomass",161.98,162.66,163.41,164.23,165.05,165.87,166.7,167.5,168.33,169.14,169.89,170.67,171.49,172,172.74,172.92,173.45,174.24,175,175.83,176.44,177.2,178.01,178.77,179.34,180.08,179.72,180.62,181.2,181.68,181.67,182.54,183.3
