"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alabama","CO2",,,,0.09,0.09,0.05,0.12,0.01,0.11,0.07,0.2,0.25,0.17,0.22,0.8,1.57,2.07,0.68,2.09,0.89,0.73,1.14,0.21,1.08,1.39,1.54,0.9,0.9,0.81,0.72,0.85,1.12
"Alabama","CH4",,,,0,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.04,0.08,0.1,0.03,0.1,0.05,0.04,0.06,0.01,0.06,0.07,0.08,0.05,0.05,0.05,0.04,0.05,0.06
"Alabama","N2O",,,,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.04,0.07,0.09,0.03,0.09,0.04,0.03,0.05,0.01,0.05,0.06,0.07,0.04,0.04,0.04,0.03,0.04,0.05
"Alaska","CO2",38.58,21.97,1.31,10.38,7.09,1.04,4.07,0.87,7.61,15.33,24.53,3.61,61.96,16.24,234.84,137.35,6.91,8.4,1.67,81.39,9.88,4.7,1.62,36.35,0.95,146.3,4.53,4.53,7.57,77.89,1.59,5.93
"Alaska","CH4",2.37,1.36,0.08,0.65,0.45,0.06,0.25,0.05,0.5,1,1.6,0.24,4.02,1.04,15.04,8.83,0.43,0.54,0.11,5.26,0.62,0.3,0.1,2.36,0.06,9.5,0.28,0.29,0.48,4.97,0.1,0.37
"Alaska","N2O",1.7,0.97,0.06,0.46,0.31,0.05,0.18,0.04,0.33,0.67,1.08,0.16,2.73,0.71,10.33,6.04,0.3,0.37,0.07,3.58,0.43,0.21,0.07,1.6,0.04,6.44,0.2,0.2,0.33,3.43,0.07,0.26
"Arizona","CO2",0.38,0,0.06,0.72,1.02,1.28,2,0.18,0.81,1.52,1.26,0.67,9.57,2.55,2.19,0.73,1.85,0.86,0.87,1.63,0.62,15.13,0.66,0.4,1.96,1.02,1.62,1.85,2.23,1.8,2.2,1.32
"Arizona","CH4",0.02,0,0,0.04,0.06,0.08,0.12,0.01,0.05,0.09,0.08,0.04,0.58,0.15,0.14,0.04,0.11,0.06,0.05,0.1,0.04,0.95,0.04,0.02,0.12,0.06,0.1,0.13,0.14,0.11,0.14,0.08
"Arizona","N2O",0.02,0,0,0.03,0.05,0.06,0.09,0.01,0.04,0.07,0.06,0.03,0.42,0.11,0.1,0.03,0.08,0.04,0.04,0.07,0.03,0.67,0.03,0.02,0.09,0.04,0.07,0.08,0.1,0.08,0.1,0.06
"Arkansas","CO2",0,,,,0.02,0.05,0.05,,0.36,0.12,0.58,0.37,0.59,3.01,2.05,1.58,2.86,3.47,2.33,0.7,2.35,1.13,0.55,2.46,1.63,1.05,2.73,1.94,1.77,1.31,1.61,2.68
"Arkansas","CH4",0,,,,0,0,0,,0.02,0.01,0.03,0.02,0.03,0.15,0.1,0.08,0.14,0.17,0.12,0.03,0.12,0.06,0.03,0.12,0.08,0.05,0.14,0.1,0.09,0.07,0.08,0.13
"Arkansas","N2O",0,,,,0,0,0,,0.02,0.01,0.03,0.02,0.03,0.13,0.09,0.07,0.13,0.15,0.1,0.03,0.1,0.05,0.02,0.11,0.07,0.05,0.12,0.09,0.08,0.06,0.07,0.12
"California","CO2",5.31,0.63,4.76,0.93,5.23,1.07,6.58,2.14,0.54,20.51,3.83,5.61,8.89,8.57,3.35,1.4,11.77,12.3,32.62,6.76,0.72,1.57,9.58,15.89,10.92,18.68,6.92,20.53,20.49,2.38,64.74,101.22
"California","CH4",0.35,0.05,0.34,0.07,0.38,0.08,0.48,0.15,0.04,1.56,0.29,0.43,0.69,0.67,0.24,0.1,0.92,0.95,2.61,0.51,0.05,0.11,0.76,1.27,0.86,1.37,0.57,1.56,1.56,0.19,5.28,8.09
"California","N2O",0.23,0.03,0.21,0.04,0.23,0.05,0.29,0.09,0.02,0.9,0.17,0.25,0.39,0.38,0.15,0.06,0.52,0.54,1.44,0.3,0.03,0.07,0.42,0.7,0.48,0.82,0.3,0.9,0.9,0.1,2.85,4.45
"Colorado","CO2",0.03,,,0,0.22,0.02,0.23,0,0,0,0.72,0.26,11.59,0.47,0.13,0.41,0.63,0.08,0.1,0.28,0.24,0.47,3.1,6.29,0.49,0.02,2.59,0.66,7.26,0.69,13.98,3.13
