"State","Gas","2021 Emission Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Alabama","CO2",1.12,0.92,1.33,-18.16,18.68
"Alabama","CH4",0.06,0.06,0.06,-0.15,0.15
"Alabama","N2O",0.05,0.04,0.06,-18.36,18.52
"Alaska","CO2",5.93,1.51,10.32,-74.61,73.87
"Alaska","CH4",0.37,-0.07,0.82,-119.53,117.85
"Alaska","N2O",0.26,0.06,0.46,-76.06,74.7
"Arizona","CO2",1.32,-1.1,3.78,-183.08,187.07
"Arizona","CH4",0.08,0.07,0.09,-14.79,15.43
"Arizona","N2O",0.06,-0.05,0.17,-189.25,188.61
"Arkansas","CO2",2.68,0.01,5.41,-99.51,102.18
"Arkansas","CH4",0.13,0.05,0.21,-58.99,59.95
"Arkansas","N2O",0.12,0,0.24,-104.2,100.26
"California","CO2",101.22,-33.04,237.46,-132.64,134.59
"California","CH4",8.09,3.73,12.33,-53.86,52.43
"California","N2O",4.45,-1.55,10.46,-134.91,135
"Colorado","CO2",3.13,2.75,3.5,-12.04,12.1
"Colorado","CH4",0.28,-0.08,0.63,-127.82,126.07
"Colorado","N2O",0.14,0.12,0.15,-11.89,11.99
"Florida","CO2",2.99,-4.08,9.8,-236.52,227.64
"Florida","CH4",0.17,-0.34,0.69,-297.11,301.49
"Florida","N2O",0.13,-0.18,0.44,-233.81,230.97
"Georgia","CO2",1.42,1.27,1.57,-10.77,10.43
"Georgia","CH4",0.07,0.03,0.12,-59.6,59.25
"Georgia","N2O",0.06,0.06,0.07,-10.52,10.72
"Idaho","CO2",9.95,-4.79,24.86,-148.11,149.76
"Idaho","CH4",0.84,0.31,1.39,-63.06,65.12
"Idaho","N2O",0.44,-0.2,1.1,-146.62,150.89
"Illinois","CO2",0.1,0.01,0.2,-86.95,88.92
"Illinois","CH4",0.01,0,0.01,-48.08,47.8
"Illinois","N2O",0,0,0.01,-84.97,86.72
"Indiana","CO2",0.03,0.01,0.05,-52.35,52.02
"Indiana","CH4",0,0,0,-21.77,22.44
"Indiana","N2O",0,0,0,-51.02,50.55
"Iowa","CO2",0.01,-0.02,0.05,-245.48,251.31
"Iowa","CH4",0,0,0,-195.01,200.32
"Iowa","N2O",0,0,0,-250.57,250.52
"Kansas","CO2",0.75,0.5,1,-33.15,33.92
"Kansas","CH4",0.03,0.03,0.04,-10.86,10.85
"Kansas","N2O",0.03,0.02,0.04,-33.96,33.33
"Kentucky","CO2",0.26,-0.06,0.58,-122.36,121.73
"Kentucky","CH4",0.01,0,0.02,-102.12,102.11
"Kentucky","N2O",0.01,0,0.03,-121.42,125.64
"Louisiana","CO2",0.67,0.15,1.18,-76.87,77.79
"Louisiana","CH4",0.04,-0.01,0.09,-141.75,142.43
"Louisiana","N2O",0.03,0.01,0.05,-79.2,77.51
