"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alabama","CH4",,,,0.16,0.15,0.11,0.23,0.01,0.22,0.13,0.36,0.45,0.32,0.41,1.46,2.81,3.73,1.25,3.73,1.71,1.38,2.07,0.39,2.05,2.61,2.86,1.78,1.69,1.63,1.41,1.73,2.13
"Alabama","N2O",,,,0.02,0.02,0.01,0.02,0,0.02,0.01,0.03,0.04,0.03,0.04,0.13,0.26,0.34,0.11,0.35,0.15,0.12,0.19,0.03,0.18,0.23,0.26,0.15,0.15,0.13,0.12,0.14,0.19
"Alabama","CO",,,,4.72,4.33,2.91,6.03,0.32,5.61,3.83,10.19,12.38,8.44,11.1,38.71,75.21,99.8,33.95,102.46,44.6,36.86,56.1,10.55,53.7,69.04,77.1,47.05,45.24,42.18,36.92,44.65,56.01
"Alabama","NOx",,,,0.13,0.13,0.07,0.16,0.01,0.15,0.1,0.26,0.35,0.25,0.31,1.18,2.32,3.02,0.96,2.97,1.25,1.02,1.63,0.29,1.53,1.98,2.19,1.24,1.26,1.13,1.02,1.18,1.61
"Alaska","CH4",84.49,48.63,2.82,23.23,16.24,2.29,8.95,1.95,17.9,35.78,57.13,8.4,143.58,37.08,537.11,315.28,15.39,19.38,3.94,187.96,22.19,10.8,3.41,84.32,2.16,339.26,10.08,10.18,17.19,177.48,3.64,13.37
"Alaska","N2O",6.4,3.65,0.22,1.72,1.18,0.17,0.68,0.14,1.26,2.54,4.07,0.6,10.28,2.7,38.98,22.8,1.15,1.39,0.28,13.51,1.64,0.78,0.27,6.03,0.16,24.29,0.75,0.75,1.26,12.93,0.26,0.98
"Alaska","CO",2278.24,1304.95,76.52,620.48,429.38,61.56,240.9,51.95,468.1,938.57,1500.14,220.16,3777.88,981.64,14212.38,8329.32,411.65,510.84,103.06,4952.27,590.76,285.4,93.3,2217.57,57.36,8922.91,269.83,271.35,456.08,4702.28,96.13,355.97
"Alaska","NOx",30.49,17.37,1.03,8.21,5.6,0.82,3.22,0.68,6.02,12.12,19.4,2.86,48.99,12.84,185.67,108.6,5.46,6.64,1.32,64.35,7.81,3.72,1.28,28.74,0.76,115.68,3.58,3.58,5.99,61.59,1.26,4.69
"Arizona","CH4",0.78,0,0.13,1.6,2.06,2.71,4.4,0.41,1.76,3.37,2.85,1.47,20.72,5.48,5.03,1.5,3.97,1.97,1.84,3.59,1.33,33.95,1.39,0.78,4.2,2.16,3.63,4.8,5.15,4.06,5.08,2.82
"Arizona","N2O",0.06,0,0.01,0.12,0.17,0.21,0.33,0.03,0.13,0.25,0.21,0.11,1.59,0.42,0.36,0.12,0.31,0.14,0.14,0.27,0.1,2.51,0.11,0.07,0.32,0.17,0.27,0.31,0.37,0.3,0.37,0.22
"Arizona","CO",15.55,0,2.71,31.82,41.19,54.19,88.05,8.25,35.25,67.3,57.92,29.45,409.88,110.83,102.52,30.02,81.31,40.2,36.49,71.86,26.5,693.58,27.97,15.43,83.49,43.47,73.2,98.68,103.88,82.13,101.88,56.14
"Arizona","NOx",0.65,0,0.08,1.1,1.66,2,3.15,0.29,1.27,2.38,1.82,1.01,16.02,3.89,3.04,1.18,2.77,1.21,1.44,2.54,1,21.14,1.05,0.69,3.18,1.61,2.39,2.14,3.2,2.63,3.22,2.11
"Arkansas","CH4",0.01,,,,0.03,0.08,0.09,,0.67,0.22,1.12,0.64,1.04,5.25,3.61,2.79,5.08,6.09,4.12,1.24,4.15,2.04,0.98,4.33,2.88,1.84,4.87,3.43,3.15,2.46,2.88,4.68
"Arkansas","N2O",0,,,,0,0.01,0.01,,0.06,0.02,0.1,0.06,0.1,0.5,0.34,0.26,0.47,0.58,0.39,0.12,0.39,0.19,0.09,0.41,0.27,0.17,0.45,0.32,0.29,0.22,0.27,0.44
"Arkansas","CO",0.15,,,,0.88,2.49,2.61,,19.12,6.49,31.36,19.02,30.72,156.3,107.07,82.63,149.73,180.73,121.85,36.61,122.7,59.64,28.91,128.28,85.35,54.77,143.3,101.4,92.77,70.76,84.69,139.35
"Arkansas","NOx",0,,,,0.02,0.06,0.07,,0.47,0.16,0.77,0.49,0.78,3.99,2.72,2.1,3.8,4.6,3.09,0.93,3.11,1.5,0.73,3.26,2.17,1.39,3.62,2.57,2.35,1.74,2.14,3.55
"California","CH4",12.5,1.63,12.01,2.41,13.74,3.01,17.04,5.29,1.34,55.78,10.49,15.19,24.68,23.99,8.55,3.69,32.68,33.92,93.11,18.08,1.9,3.89,27.17,45.53,30.68,48.88,20.2,55.87,55.59,6.64,188.66,288.89
"California","N2O",0.88,0.1,0.79,0.15,0.87,0.18,1.09,0.36,0.09,3.41,0.64,0.93,1.48,1.42,0.56,0.23,1.95,2.04,5.42,1.12,0.12,0.26,1.59,2.64,1.81,3.1,1.15,3.41,3.4,0.4,10.75,16.8
"California","CO",255.54,33.68,245.57,51.18,284.16,61.67,352.64,109.24,27.69,1163.45,215.23,313.42,513.65,502.61,177.31,76.72,683.23,707.08,1934.17,377.29,39.06,80.25,561.69,941.62,637.91,1012.09,416.76,1161.82,1144.33,135.34,3878.44,5997.08
