"State","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Alabama",,,,1.98,1.27,0.66,2.52,0.14,1.51,0.81,2.3,3.64,3.04,3.81,12.35,27.08,34.07,10.91,30.35,13.41,11.24,16.82,3.61,18.06,21.61,23.14,15.1,14.62,14.41,12.25,16.34,17.39
"Alaska",244.93,138.98,9.13,61.59,38.54,6.24,25.37,5.17,34.5,99.84,123.91,18.64,324.99,101.72,1276.33,757.03,38.84,43.61,9.48,439.53,58.65,25.91,11.7,187.9,5.97,764.32,37.02,27.08,50.97,471.36,9.73,36.47
"Arizona",4.71,0,0.7,11.19,11.88,19.01,29.57,2.82,12,23.08,15.37,9.76,136.91,29.48,24.93,9.66,25.3,11.5,12.3,24.5,9.25,190.44,8.26,5.34,28.39,15.67,28.82,29.75,40.04,31.17,35.96,18.83
"Arkansas",0.04,,,,0.25,0.59,0.6,,4.47,1.42,6.69,4.73,7.41,37.54,25.51,19.74,35.18,42.74,29.51,8.87,29.14,14.57,6.83,30.01,20.09,14.03,36.16,24.93,22.83,19.07,21.13,33.28
"California",40.72,4.36,36.38,5.77,40.43,5.86,41.08,14.27,4.03,148.96,29.82,40.52,58.81,55.64,24.17,9.48,87.52,86.57,216.96,43.63,4.69,10.25,67.69,103.95,83.59,144.88,46.45,152.98,187.24,22.73,545.64,684.26
"Colorado",0.42,,,0.01,2.42,0.34,3.23,0,0.02,0.05,9.48,3.41,118.64,4.53,1.71,4.75,6.91,0.86,1.44,4.03,3,5.94,39.59,49.55,3.75,0.38,28.08,6.8,75.52,7.14,157.85,24.12
"Delaware",,,,,,,,,,,,,0.02,,0.07,,,,,,,,,,,,,,,,,
"Florida",14.74,18.02,28.78,11.49,20.13,10.78,17.6,12.78,82.72,54.12,32.56,32.67,13.78,23.33,63.48,37.92,70.39,106.06,99.1,99.69,84.76,97.91,58.81,50.27,50.58,43.53,36.17,57.43,70.38,45.04,48.06,64.68
"Georgia",12.67,0.75,1.67,5.58,2.36,2.13,2.96,3.76,8.43,11.57,6.15,8.28,46.08,9.56,24.08,13.93,19.29,173.6,22.59,10.98,16.47,124.95,7.51,22.12,20.64,14.73,32.23,59.37,14.34,14.71,7.63,27.52
"Idaho",2.97,6.27,30.45,,108.25,0.33,23.88,0.55,12.9,8.33,265.5,10.2,5.63,53.25,3.09,57.55,81.46,330.4,15,6.77,4.47,23.27,201.73,91.85,15.13,123.46,56.56,83.42,37.01,7.1,44.95,86.31
"Illinois",,,,,,,,,,,0.3,0.16,1.08,0.32,1.23,0.41,0.26,0.82,1.02,0.79,0.37,1.97,0.11,1.29,1,1.47,0.77,0.53,0.53,2.1,0.84,1.26
