"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama","Total Forest Land",9374.33,9372.97,9371.61,9370.24,9368.88,9367.52,9366.15,9364.79,9363.29,9361.79,9360.28,9358.78,9357.28,9355.78,9354.28,9352.65,9351.02,9349.4,9347.77,9346.14,9344.51,9342.89,9340.88,9338.87,9336.87,9334.86,9332.86,9330.85,9329.1,9327.35,9325.6,9323.85,9322.1
"Alabama","FF",9347.23,9345.9,9344.53,9343.17,9341.81,9340.44,9339.08,9337.72,9336.24,9334.74,9333.24,9331.74,9330.24,9328.73,9327.23,9325.64,9324.01,9322.38,9320.75,9319.13,9317.5,9315.87,9309.4,9307.4,9305.39,9303.38,9301.38,9299.37,9302.18,9300.43,9298.68,9296.93,9295.18
"Alabama","Total Land Converted to Forest Land",27.1,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.01,27.01,27.01,27.01,27.01,27.01,27.01,31.48,31.48,31.48,31.48,31.48,31.48,26.92,26.92,26.92,26.92,26.92
"Alabama","CF",14.04,14.03,14.03,14.03,14.03,14.03,14.03,14.03,14.02,14.02,14.02,14.02,14.02,14.02,14.02,14,14,14,14,14,14,14,16.31,16.31,16.31,16.31,16.31,16.31,13.69,13.69,13.69,13.69,13.69
"Alabama","GF",1.69,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.96,1.96,1.96,1.96,1.96,1.96,1.67,1.67,1.67,1.67,1.67
"Alabama","OF",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.55,2.55,2.55,2.55,2.55,2.55,2.26,2.26,2.26,2.26,2.26
"Alabama","SF",8.73,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.7,8.7,8.7,8.7,8.7,8.7,8.7,10.14,10.14,10.14,10.14,10.14,10.14,8.96,8.96,8.96,8.96,8.96
"Alabama","WF",0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.52,0.52,0.52,0.52,0.52,0.52,0.33,0.33,0.33,0.33,0.33
"Alabama","Total Forest Land Converted to Land",28.32,28.44,28.44,28.44,28.44,28.44,28.44,28.44,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.64,28.64,28.64,28.64,28.64,28.64,28.64,33.49,33.49,33.49,33.49,33.49,33.49,28.67,28.67,28.67,28.67,28.67
"Alabama","FC",12.54,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.29,12.29,12.29,12.29,12.29,12.29,12.29,12.14,12.14,12.14,12.14,12.14,12.14,12.14,13.97,13.97,13.97,13.97,13.97,13.97,11.96,11.96,11.96,11.96,11.96
"Alabama","FG",1.83,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.81,1.81,1.81,1.81,1.81,1.81,1.81,2.1,2.1,2.1,2.1,2.1,2.1,1.8,1.8,1.8,1.8,1.8
"Alabama","FO",1.45,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.66,1.66,1.66,1.66,1.66,1.66,1.42,1.42,1.42,1.42,1.42
"Alabama","FS",11.55,11.85,11.85,11.85,11.85,11.85,11.85,11.85,12.18,12.18,12.18,12.18,12.18,12.18,12.18,12.54,12.54,12.54,12.54,12.54,12.54,12.54,15.11,15.11,15.11,15.11,15.11,15.11,12.93,12.93,12.93,12.93,12.93
"Alabama","FW",0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.64,0.64,0.64,0.64,0.64,0.64,0.55,0.55,0.55,0.55,0.55
