"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
4049,2019,57.1794302186393,4,2017,"FEMA_FranklinStLawrence2016"
1129,2019,0,6,2017,"FEMA_FranklinStLawrence2016"
2313,2015,125.718345661332,4,2017,"FEMA_FranklinStLawrence2016"
5318,2016,54.6760787482921,4,2017,"FEMA_FranklinStLawrence2016"
1584,2015,99.0154389532166,4,2017,"FEMA_FranklinStLawrence2016"
5687,2015,55.9558656333501,4,2017,"FEMA_FranklinStLawrence2016"
6135,2015,109.225663713309,4,2017,"FEMA_FranklinStLawrence2016"
2924,2015,45.0985835510649,6,2017,"FEMA_FranklinStLawrence2016"
4490,2016,0,6,2017,"FEMA_FranklinStLawrence2016"
701,2016,90.1326918984795,4,2017,"FEMA_FranklinStLawrence2016"
4406,2016,32.5146251990601,3,2017,"FEMA_FranklinStLawrence2016"
6060,2016,8.1058981819693,3,2017,"FEMA_FranklinStLawrence2016"
2002,2016,26.5564516371002,2,2017,"FEMA_FranklinStLawrence2016"
4052,2016,160.967827671414,4,2017,"FEMA_FranklinStLawrence2016"
2302,2016,14.3758821055241,6,2017,"FEMA_FranklinStLawrence2016"
4159,2018,129.829331682108,4,2017,"FEMA_FranklinStLawrence2016"
1448,2018,0,6,2017,"FEMA_FranklinStLawrence2016"
1229,2018,148.986127607127,4,2017,"FEMA_FranklinStLawrence2016"
5697,2018,158.124735808577,4,2017,"FEMA_FranklinStLawrence2016"
3232,2016,105.184779584828,4,2017,"FEMA_FranklinStLawrence2016"
2922,2016,134.302276378949,4,2017,"FEMA_FranklinStLawrence2016"
4016,2016,143.32125717716,4,2017,"FEMA_FranklinStLawrence2016"
6150,2015,159.946907519438,4,2017,"FEMA_FranklinStLawrence2016"
1556,2015,91.9949973677695,4,2017,"FEMA_FranklinStLawrence2016"
2159,2015,160.137714706013,4,2017,"FEMA_FranklinStLawrence2016"
3368,2015,1.45917566298007,2,2017,"FEMA_FranklinStLawrence2016"
7716,2015,236.508204001398,4,2017,"FEMA_FranklinStLawrence2016"
1988,2015,94.0302888485653,4,2017,"FEMA_FranklinStLawrence2016"
124,2015,12.5378316130058,6,2017,"FEMA_FranklinStLawrence2016"
2839,2016,27.4940797921649,6,2017,"FEMA_FranklinStLawrence2016"
939,2016,75.8315970623932,4,2017,"FEMA_FranklinStLawrence2016"
4976,2016,73.1960448573864,4,2017,"FEMA_FranklinStLawrence2016"
1529,2016,135.168987724308,4,2017,"FEMA_FranklinStLawrence2016"
3878,2016,116.306373598855,4,2017,"FEMA_FranklinStLawrence2016"
3054,2016,110.760621913161,4,2017,"FEMA_FranklinStLawrence2016"
1327,2016,110.006740589036,6,2017,"FEMA_FranklinStLawrence2016"
4528,2016,75.190311952701,4,2017,"FEMA_FranklinStLawrence2016"
3044,2016,119.307007219275,4,2017,"FEMA_FranklinStLawrence2016"
6152,2019,211.158935640473,4,2017,"FEMA_FranklinStLawrence2016"
2502,2019,3.11061341384103,2,2017,"FEMA_FranklinStLawrence2016"
4120,2016,193.651788272951,4,2017,"FEMA_FranklinStLawrence2016"
1598,2016,11.4972779291176,2,2017,"FEMA_FranklinStLawrence2016"
4266,2016,25.694865761522,2,2017,"FEMA_FranklinStLawrence2016"
126,2018,32.6638957391779,4,2017,"FEMA_FranklinStLawrence2016"
3636,2018,111.36269056253,4,2017,"FEMA_FranklinStLawrence2016"
5491,2018,74.8408035798907,4,2017,"FEMA_FranklinStLawrence2016"
1589,2018,0,2,2017,"FEMA_FranklinStLawrence2016"
935,2018,77.6358149107002,4,2017,"FEMA_FranklinStLawrence2016"
4572,2018,65.8009260711168,4,2017,"FEMA_FranklinStLawrence2016"
5829,2015,49.1037119605628,4,2017,"FEMA_FranklinStLawrence2016"
937,2015,121.902778001681,4,2017,"FEMA_FranklinStLawrence2016"
5837,2015,158.236270287045,4,2017,"FEMA_FranklinStLawrence2016"
6182,2015,31.5839941418786,4,2017,"FEMA_FranklinStLawrence2016"
1713,2016,133.358634170888,4,2017,"FEMA_FranklinStLawrence2016"
6071,2016,0,2,2017,"FEMA_FranklinStLawrence2016"
6433,2016,129.063360012784,4,2017,"FEMA_FranklinStLawrence2016"
2037,2016,94.3296234365196,4,2017,"FEMA_FranklinStLawrence2016"
3632,2018,0,3,2017,"FEMA_FranklinStLawrence2016"
2569,2015,173.110923932846,4,2017,"FEMA_FranklinStLawrence2016"
5846,2015,29.4696797732027,4,2017,"FEMA_FranklinStLawrence2016"
4749,2015,21.839290393517,4,2017,"FEMA_FranklinStLawrence2016"
2200,2016,169.985720332419,4,2017,"FEMA_FranklinStLawrence2016"
1771,2016,0,3,2017,"FEMA_FranklinStLawrence2016"
1288,2016,96.7092875134729,4,2017,"FEMA_FranklinStLawrence2016"
4169,2016,7.79743267011273,4,2017,"FEMA_FranklinStLawrence2016"
1948,2018,165.208088388215,4,2017,"FEMA_FranklinStLawrence2016"
3060,2018,29.0093628278962,4,2017,"FEMA_FranklinStLawrence2016"
4850,2018,67.6559873204306,4,2017,"FEMA_FranklinStLawrence2016"
2395,2018,116.753787386096,4,2017,"FEMA_FranklinStLawrence2016"
5319,2018,98.35719606459,4,2017,"FEMA_FranklinStLawrence2016"
8385,2018,0,3,2017,"FEMA_FranklinStLawrence2016"
4650,2015,13.0727625873114,4,2017,"FEMA_FranklinStLawrence2016"
6166,2015,57.05698647615,4,2017,"FEMA_FranklinStLawrence2016"
4303,2015,111.448911842581,4,2017,"FEMA_FranklinStLawrence2016"
3915,2015,33.3476394746962,4,2017,"FEMA_FranklinStLawrence2016"
2273,2015,127.422901029877,4,2017,"FEMA_FranklinStLawrence2016"
3296,2015,63.2817382067975,4,2017,"FEMA_FranklinStLawrence2016"
3493,2015,125.258768011487,4,2017,"FEMA_FranklinStLawrence2016"
2512,2015,0,6,2017,"FEMA_FranklinStLawrence2016"
2652,2015,45.3438834862973,4,2017,"FEMA_FranklinStLawrence2016"
3427,2015,118.851603461312,4,2017,"FEMA_FranklinStLawrence2016"
2161,2016,45.2813254957233,4,2017,"FEMA_FranklinStLawrence2016"
4474,2016,135.421021460017,4,2017,"FEMA_FranklinStLawrence2016"
3893,2016,43.9542059406751,4,2017,"FEMA_FranklinStLawrence2016"
3059,2016,0,6,2017,"FEMA_FranklinStLawrence2016"
5039,2016,0,2,2017,"FEMA_FranklinStLawrence2016"
1840,2016,43.4951427507849,4,2017,"FEMA_FranklinStLawrence2016"
