"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
3312,2013,0,2,2014,"FEMA_GreatLakes2014"
4208,2013,49.2140891419046,6,2014,"FEMA_GreatLakes2014"
5352,2016,47.1337968264467,4,2014,"FEMA_GreatLakes2014"
2899,2016,98.7569998811183,4,2014,"FEMA_GreatLakes2014"
5711,2013,18.1639263768012,4,2014,"FEMA_GreatLakes2014"
3733,2013,103.230515563822,6,2014,"FEMA_GreatLakes2014"
4063,2013,0,2,2014,"FEMA_GreatLakes2014"
422,2013,13.7368483458228,4,2014,"FEMA_GreatLakes2014"
4485,2013,61.3401198474396,4,2014,"FEMA_GreatLakes2014"
4359,2013,68.4201787272143,6,2014,"FEMA_GreatLakes2014"
1370,2013,38.4453866774189,4,2014,"FEMA_GreatLakes2014"
2210,2015,0.529191955598491,2,2014,"FEMA_GreatLakes2014"
4354,2015,189.243148102549,6,2014,"FEMA_GreatLakes2014"
341,2016,84.6728800976952,4,2014,"FEMA_GreatLakes2014"
1240,2016,0,2,2014,"FEMA_GreatLakes2014"
7536,2016,54.4006035974107,4,2014,"FEMA_GreatLakes2014"
8408,2016,0,2,2014,"FEMA_GreatLakes2014"
3831,2015,0,2,2014,"FEMA_GreatLakes2014"
6191,2013,0,2,2014,"FEMA_GreatLakes2014"
593,2013,6.42780217242015,4,2014,"FEMA_GreatLakes2014"
865,2015,0,2,2014,"FEMA_GreatLakes2014"
367,2015,0,2,2014,"FEMA_GreatLakes2014"
1301,2015,101.49595142077,4,2014,"FEMA_GreatLakes2014"
324,2016,127.241053874142,4,2014,"FEMA_GreatLakes2014"
2636,2016,170.272761979038,6,2014,"FEMA_GreatLakes2014"
5459,2016,23.8258758810979,4,2014,"FEMA_GreatLakes2014"
3264,2016,92.4439771654741,4,2014,"FEMA_GreatLakes2014"
5618,2015,186.681433700371,4,2014,"FEMA_GreatLakes2014"
432,2015,0,2,2014,"FEMA_GreatLakes2014"
5885,2016,256.222490262164,6,2014,"FEMA_GreatLakes2014"
2627,2016,0,2,2014,"FEMA_GreatLakes2014"
4768,2016,56.0584187522284,2,2014,"FEMA_GreatLakes2014"
2055,2016,0,2,2014,"FEMA_GreatLakes2014"
5571,2016,0,2,2014,"FEMA_GreatLakes2014"
5869,2016,3.61550758677177,4,2014,"FEMA_GreatLakes2014"
6865,2016,0,2,2014,"FEMA_GreatLakes2014"
880,2016,0,2,2014,"FEMA_GreatLakes2014"
2929,2013,0,2,2014,"FEMA_GreatLakes2014"
2328,2015,24.801634895525,2,2014,"FEMA_GreatLakes2014"
1524,2015,0,2,2014,"FEMA_GreatLakes2014"
