"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
6587,2018,201.68563039186,4,2017,"FEMA_OneidaSubbasin2016"
1128,2018,184.953096634739,4,2017,"FEMA_OneidaSubbasin2016"
5811,2015,0,2,2017,"FEMA_OneidaSubbasin2016"
388,2018,78.3178729735114,3,2017,"FEMA_OneidaSubbasin2016"
4793,2016,222.631967422462,4,2017,"FEMA_OneidaSubbasin2016"
3571,2016,0,2,2017,"FEMA_OneidaSubbasin2016"
4959,2016,0,2,2017,"FEMA_OneidaSubbasin2016"
1896,2016,8.9795940653978,4,2017,"FEMA_OneidaSubbasin2016"
1058,2016,86.7605401132319,4,2017,"FEMA_OneidaSubbasin2016"
2893,2016,0,2,2017,"FEMA_OneidaSubbasin2016"
4674,2016,176.030502950248,4,2017,"FEMA_OneidaSubbasin2016"
1623,2015,78.7669639343368,6,2017,"FEMA_OneidaSubbasin2016"
2311,2015,262.639528991215,4,2017,"FEMA_OneidaSubbasin2016"
6631,2018,0,3,2017,"FEMA_OneidaSubbasin2016"
1182,2015,57.0961652502859,4,2017,"FEMA_OneidaSubbasin2016"
5601,2018,201.984081786121,6,2017,"FEMA_OneidaSubbasin2016"
2610,2018,126.999484405959,6,2017,"FEMA_OneidaSubbasin2016"
1121,2018,1.38568843544746,2,2017,"FEMA_OneidaSubbasin2016"
6505,2018,0,2,2017,"FEMA_OneidaSubbasin2016"
6667,2016,42.5555307792061,4,2017,"FEMA_OneidaSubbasin2016"
2472,2018,190.806271361002,4,2017,"FEMA_OneidaSubbasin2016"
8381,2018,0,2,2017,"FEMA_OneidaSubbasin2016"
1969,2015,32.7876001240706,2,2017,"FEMA_OneidaSubbasin2016"
5190,2019,111.257850741361,4,2017,"FEMA_OneidaSubbasin2016"
1817,2019,0,2,2017,"FEMA_OneidaSubbasin2016"
900,2019,153.511655468523,4,2017,"FEMA_OneidaSubbasin2016"
1079,2019,59.9694032563774,4,2017,"FEMA_OneidaSubbasin2016"
3477,2019,0,2,2017,"FEMA_OneidaSubbasin2016"
4200,2019,79.2615964493685,4,2017,"FEMA_OneidaSubbasin2016"
6634,2019,26.6021301418431,2,2017,"FEMA_OneidaSubbasin2016"
3492,2019,102.715603441946,4,2017,"FEMA_OneidaSubbasin2016"
