"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
917,2014,149.656506425926,4,2016,"NYSGPO_AlleganySteuben2016"
544,2015,0,4,2016,"NYSGPO_AlleganySteuben2016"
4047,2015,63.9581895269209,4,2016,"NYSGPO_AlleganySteuben2016"
5128,2017,0,2,2016,"NYSGPO_AlleganySteuben2016"
769,2017,59.484584333622,4,2016,"NYSGPO_AlleganySteuben2016"
4757,2018,176.088709248655,2,2016,"NYSGPO_AlleganySteuben2016"
4956,2014,75.0326185127692,4,2016,"NYSGPO_AlleganySteuben2016"
947,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
4138,2014,208.932824062531,4,2016,"NYSGPO_AlleganySteuben2016"
5764,2017,37.2596153272394,2,2016,"NYSGPO_AlleganySteuben2016"
6417,2017,18.070987606494,4,2016,"NYSGPO_AlleganySteuben2016"
1986,2018,0,2,2016,"NYSGPO_AlleganySteuben2016"
2648,2018,0,2,2016,"NYSGPO_AlleganySteuben2016"
1557,2014,237.678495623939,4,2016,"NYSGPO_AlleganySteuben2016"
3836,2014,0,2,2016,"NYSGPO_AlleganySteuben2016"
6112,2014,27.7199162588705,2,2016,"NYSGPO_AlleganySteuben2016"
921,2018,121.722502812542,4,2016,"NYSGPO_AlleganySteuben2016"
2510,2017,198.995535421536,4,2016,"NYSGPO_AlleganySteuben2016"
5150,2017,31.3441108118309,4,2016,"NYSGPO_AlleganySteuben2016"
474,2018,0,2,2016,"NYSGPO_AlleganySteuben2016"
6458,2018,32.4775357789497,4,2016,"NYSGPO_AlleganySteuben2016"
1277,2015,167.140554447704,4,2016,"NYSGPO_AlleganySteuben2016"
6194,2015,0,4,2016,"NYSGPO_AlleganySteuben2016"
948,2015,115.570602163628,4,2016,"NYSGPO_AlleganySteuben2016"
1538,2015,212.248981702221,4,2016,"NYSGPO_AlleganySteuben2016"
4230,2018,34.9975757679489,4,2016,"NYSGPO_AlleganySteuben2016"
5365,2014,0,2,2016,"NYSGPO_AlleganySteuben2016"
6042,2014,166.841188466961,4,2016,"NYSGPO_AlleganySteuben2016"
4364,2014,0,2,2016,"NYSGPO_AlleganySteuben2016"
6016,2017,138.835578002845,4,2016,"NYSGPO_AlleganySteuben2016"
696,2017,24.3842081021058,4,2016,"NYSGPO_AlleganySteuben2016"
5226,2018,81.7097175619304,4,2016,"NYSGPO_AlleganySteuben2016"
6017,2018,227.042060949488,4,2016,"NYSGPO_AlleganySteuben2016"
4740,2017,0,2,2016,"NYSGPO_AlleganySteuben2016"
4803,2017,70.3155677577732,4,2016,"NYSGPO_AlleganySteuben2016"
3314,2017,68.6716385833125,2,2016,"NYSGPO_AlleganySteuben2016"
789,2017,151.10291696063,4,2016,"NYSGPO_AlleganySteuben2016"
4076,2017,20.2917356717828,4,2016,"NYSGPO_AlleganySteuben2016"
972,2017,54.1114626541426,4,2016,"NYSGPO_AlleganySteuben2016"
3468,2017,211.508158887972,4,2016,"NYSGPO_AlleganySteuben2016"
493,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
3539,2018,0,2,2016,"NYSGPO_AlleganySteuben2016"
4498,2015,198.258722364934,4,2016,"NYSGPO_AlleganySteuben2016"
2421,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
6035,2015,148.078021071731,4,2016,"NYSGPO_AlleganySteuben2016"
3615,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
2865,2014,34.78909731463,4,2016,"NYSGPO_AlleganySteuben2016"
450,2014,145.345885983146,4,2016,"NYSGPO_AlleganySteuben2016"
6689,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
1816,2017,0,2,2016,"NYSGPO_AlleganySteuben2016"
5925,2015,0,2,2016,"NYSGPO_AlleganySteuben2016"
3796,2018,0,2,2016,"NYSGPO_AlleganySteuben2016"
251,2018,80.2253459412008,4,2016,"NYSGPO_AlleganySteuben2016"
