"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
2477,2017,217.699264226599,4,2018,"NYSGPO_CayugaOswego_2018"
29,2016,155.826601610946,4,2018,"NYSGPO_CayugaOswego_2018"
4627,2016,0,2,2018,"NYSGPO_CayugaOswego_2018"
3385,2016,155.307860378241,4,2018,"NYSGPO_CayugaOswego_2018"
3115,2016,175.918010310434,4,2018,"NYSGPO_CayugaOswego_2018"
3797,2016,225.460524255317,4,2018,"NYSGPO_CayugaOswego_2018"
1551,2016,0,2,2018,"NYSGPO_CayugaOswego_2018"
4209,2016,138.655298591126,4,2018,"NYSGPO_CayugaOswego_2018"
4040,2016,69.6932277106318,4,2018,"NYSGPO_CayugaOswego_2018"
345,2016,221.60356504811,6,2018,"NYSGPO_CayugaOswego_2018"
2221,2016,46.0731315754994,2,2018,"NYSGPO_CayugaOswego_2018"
316,2017,0,2,2018,"NYSGPO_CayugaOswego_2018"
5624,2017,130.096677213595,4,2018,"NYSGPO_CayugaOswego_2018"
233,2017,237.979532390435,4,2018,"NYSGPO_CayugaOswego_2018"
2072,2017,0,2,2018,"NYSGPO_CayugaOswego_2018"
5637,2017,0,2,2018,"NYSGPO_CayugaOswego_2018"
4960,2017,0,2,2018,"NYSGPO_CayugaOswego_2018"
4337,2017,20.8374747031037,2,2018,"NYSGPO_CayugaOswego_2018"
4807,2017,92.396840474447,4,2018,"NYSGPO_CayugaOswego_2018"
1966,2017,160.67959471769,6,2018,"NYSGPO_CayugaOswego_2018"
1911,2017,128.043789919373,4,2018,"NYSGPO_CayugaOswego_2018"
2496,2016,0,2,2018,"NYSGPO_CayugaOswego_2018"
2106,2016,360.565709029551,6,2018,"NYSGPO_CayugaOswego_2018"
1481,2017,198.800850497013,4,2018,"NYSGPO_CayugaOswego_2018"
516,2017,152.570422478273,4,2018,"NYSGPO_CayugaOswego_2018"
5951,2017,98.1633390624844,4,2018,"NYSGPO_CayugaOswego_2018"
5414,2019,169.355087064529,6,2018,"NYSGPO_CayugaOswego_2018"
315,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
1205,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
1242,2019,127.706771498897,4,2018,"NYSGPO_CayugaOswego_2018"
6647,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
3564,2019,57.3924632907833,2,2018,"NYSGPO_CayugaOswego_2018"
6524,2019,121.498283391505,4,2018,"NYSGPO_CayugaOswego_2018"
2876,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
1792,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
1339,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
614,2019,168.493690038095,4,2018,"NYSGPO_CayugaOswego_2018"
2540,2019,145.977577607588,2,2018,"NYSGPO_CayugaOswego_2018"
2127,2019,2.74580725531298,2,2018,"NYSGPO_CayugaOswego_2018"
4301,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
4445,2019,94.757561148202,4,2018,"NYSGPO_CayugaOswego_2018"
5566,2019,188.778586580995,4,2018,"NYSGPO_CayugaOswego_2018"
3301,2019,0,2,2018,"NYSGPO_CayugaOswego_2018"
