"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
822,2017,286.963997040641,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
3619,2017,68.7612564902926,6,2019,"NYSGPO_ErieGeneseeLivingston2019"
8372,2017,307.879858492572,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
3959,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
6021,2018,169.593138172722,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
4325,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
5018,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
5419,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
5738,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
173,2017,216.581866478979,6,2019,"NYSGPO_ErieGeneseeLivingston2019"
973,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
3586,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
226,2017,138.947843547466,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
1727,2018,148.381876936319,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
6479,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
4167,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
1766,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
735,2017,4.85068482612563,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
274,2017,154.467685342659,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
2215,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
3847,2017,173.148877322444,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
5469,2017,172.588080275084,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
2101,2017,206.926478230739,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
3612,2017,97.7467511526525,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
298,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
5114,2018,128.813958765474,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
6167,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
3227,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
3344,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
4550,2017,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
2240,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
3851,2018,164.116362980884,4,2019,"NYSGPO_ErieGeneseeLivingston2019"
3016,2018,0,2,2019,"NYSGPO_ErieGeneseeLivingston2019"
