"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
5251,2013,121.396173474863,6,2015,"NYSGPO_MadisonOtsego_2015"
5472,2013,147.765046606967,4,2015,"NYSGPO_MadisonOtsego_2015"
4326,2013,36.9795193115978,2,2015,"NYSGPO_MadisonOtsego_2015"
4478,2016,0,2,2015,"NYSGPO_MadisonOtsego_2015"
4239,2017,58.4621073246019,4,2015,"NYSGPO_MadisonOtsego_2015"
4172,2013,0,2,2015,"NYSGPO_MadisonOtsego_2015"
3487,2013,0,2,2015,"NYSGPO_MadisonOtsego_2015"
3471,2013,178.489857082676,4,2015,"NYSGPO_MadisonOtsego_2015"
5882,2013,0,2,2015,"NYSGPO_MadisonOtsego_2015"
4696,2013,103.631662221406,4,2015,"NYSGPO_MadisonOtsego_2015"
1106,2013,0,2,2015,"NYSGPO_MadisonOtsego_2015"
1092,2013,239.431769768108,4,2015,"NYSGPO_MadisonOtsego_2015"
2032,2014,51.3172700720954,4,2015,"NYSGPO_MadisonOtsego_2015"
6543,2017,176.613165311296,4,2015,"NYSGPO_MadisonOtsego_2015"
4246,2017,132.228786389826,4,2015,"NYSGPO_MadisonOtsego_2015"
5498,2016,183.362720273485,4,2015,"NYSGPO_MadisonOtsego_2015"
58,2016,0,2,2015,"NYSGPO_MadisonOtsego_2015"
3057,2017,0,2,2015,"NYSGPO_MadisonOtsego_2015"
5546,2017,0,2,2015,"NYSGPO_MadisonOtsego_2015"
6341,2017,242.740065011595,4,2015,"NYSGPO_MadisonOtsego_2015"
5529,2014,0,2,2015,"NYSGPO_MadisonOtsego_2015"
2809,2016,137.077934709583,4,2015,"NYSGPO_MadisonOtsego_2015"
2056,2016,0,2,2015,"NYSGPO_MadisonOtsego_2015"
203,2016,134.911549686905,2,2015,"NYSGPO_MadisonOtsego_2015"
4869,2016,0.443506848736568,2,2015,"NYSGPO_MadisonOtsego_2015"
419,2016,59.7270458723586,2,2015,"NYSGPO_MadisonOtsego_2015"
2194,2014,0,2,2015,"NYSGPO_MadisonOtsego_2015"
1076,2014,110.646245530623,6,2015,"NYSGPO_MadisonOtsego_2015"
4545,2016,110.258465226514,6,2015,"NYSGPO_MadisonOtsego_2015"
3094,2016,94.5990986861175,4,2015,"NYSGPO_MadisonOtsego_2015"
4109,2016,0,2,2015,"NYSGPO_MadisonOtsego_2015"
4670,2016,170.993996077379,4,2015,"NYSGPO_MadisonOtsego_2015"
2571,2016,173.952135240754,4,2015,"NYSGPO_MadisonOtsego_2015"
3293,2014,0,2,2015,"NYSGPO_MadisonOtsego_2015"
5780,2014,137.810364681229,4,2015,"NYSGPO_MadisonOtsego_2015"
5675,2016,174.716607536777,6,2015,"NYSGPO_MadisonOtsego_2015"
1046,2016,42.4198973368199,6,2015,"NYSGPO_MadisonOtsego_2015"
1383,2016,30.6958591606232,2,2015,"NYSGPO_MadisonOtsego_2015"
4780,2014,173.345640295812,4,2015,"NYSGPO_MadisonOtsego_2015"
852,2013,0,2,2015,"NYSGPO_MadisonOtsego_2015"
2402,2014,0,2,2015,"NYSGPO_MadisonOtsego_2015"
