"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
4853,2017,207.894776128943,4,2018,"NYSGPO_SouthwestB_fall_2017"
2695,2017,138.31549624948,4,2018,"NYSGPO_SouthwestB_fall_2017"
1750,2017,33.4875948083594,4,2018,"NYSGPO_SouthwestB_fall_2017"
5807,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
4115,2016,165.881994187543,6,2018,"NYSGPO_SouthwestB_fall_2017"
1436,2016,19.9263318833191,4,2018,"NYSGPO_SouthwestB_fall_2017"
4233,2016,0,6,2018,"NYSGPO_SouthwestB_fall_2017"
1963,2016,78.5977698938451,4,2018,"NYSGPO_SouthwestB_fall_2017"
985,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
4075,2017,134.152194611117,2,2018,"NYSGPO_SouthwestB_fall_2017"
5230,2017,180.772374298592,4,2018,"NYSGPO_SouthwestB_fall_2017"
5548,2017,297.788745724671,4,2018,"NYSGPO_SouthwestB_fall_2017"
5501,2016,124.484716017678,4,2018,"NYSGPO_SouthwestB_fall_2017"
1993,2016,104.691988519269,4,2018,"NYSGPO_SouthwestB_fall_2017"
5350,2016,234.905866420894,4,2018,"NYSGPO_SouthwestB_fall_2017"
6032,2016,123.098376697875,4,2018,"NYSGPO_SouthwestB_fall_2017"
2339,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
6061,2016,68.7807961001609,4,2018,"NYSGPO_SouthwestB_fall_2017"
837,2016,132.523313800122,4,2018,"NYSGPO_SouthwestB_fall_2017"
4526,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
1841,2016,163.263867644888,4,2018,"NYSGPO_SouthwestB_fall_2017"
4488,2017,156.065518186091,4,2018,"NYSGPO_SouthwestB_fall_2017"
6515,2016,157.95364390063,4,2018,"NYSGPO_SouthwestB_fall_2017"
1849,2016,0,4,2018,"NYSGPO_SouthwestB_fall_2017"
377,2016,30.1883363576244,4,2018,"NYSGPO_SouthwestB_fall_2017"
1335,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
710,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
2071,2017,163.593929925154,4,2018,"NYSGPO_SouthwestB_fall_2017"
2631,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
1856,2017,225.598773848901,4,2018,"NYSGPO_SouthwestB_fall_2017"
3455,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
1759,2017,126.570278213794,4,2018,"NYSGPO_SouthwestB_fall_2017"
633,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
4769,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
5098,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
4348,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
6660,2016,31.5515798325125,4,2018,"NYSGPO_SouthwestB_fall_2017"
2660,2017,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
5924,2016,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
4919,2016,232.061478475664,4,2018,"NYSGPO_SouthwestB_fall_2017"
630,2017,263.940121524812,4,2018,"NYSGPO_SouthwestB_fall_2017"
6382,2019,129.29128119947,4,2018,"NYSGPO_SouthwestB_fall_2017"
6174,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
3322,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
1206,2019,130.87578833007,4,2018,"NYSGPO_SouthwestB_fall_2017"
5458,2019,142.86080112281,4,2018,"NYSGPO_SouthwestB_fall_2017"
6568,2019,158.180314495462,4,2018,"NYSGPO_SouthwestB_fall_2017"
6723,2019,144.020899680764,4,2018,"NYSGPO_SouthwestB_fall_2017"
1641,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
2702,2019,224.370727764218,4,2018,"NYSGPO_SouthwestB_fall_2017"
5934,2019,2.69088789119796,3,2018,"NYSGPO_SouthwestB_fall_2017"
4676,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
87,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
232,2019,300.603057313881,4,2018,"NYSGPO_SouthwestB_fall_2017"
4705,2019,43.2930272664059,2,2018,"NYSGPO_SouthwestB_fall_2017"
1416,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
6193,2019,253.06188394637,4,2018,"NYSGPO_SouthwestB_fall_2017"
3550,2019,322.562983241425,4,2018,"NYSGPO_SouthwestB_fall_2017"
541,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
39,2019,186.471941126406,4,2018,"NYSGPO_SouthwestB_fall_2017"
6123,2019,209.560908450449,4,2018,"NYSGPO_SouthwestB_fall_2017"
5008,2019,174.02254716888,4,2018,"NYSGPO_SouthwestB_fall_2017"
5965,2019,98.2017901970979,4,2018,"NYSGPO_SouthwestB_fall_2017"
1388,2019,137.14215585019,4,2018,"NYSGPO_SouthwestB_fall_2017"
3148,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
5879,2019,0,2,2018,"NYSGPO_SouthwestB_fall_2017"
