"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
5519,2018,8.83640603668128,2,2017,"NYSGPO_Southwest_spring_2017"
5617,2015,0,2,2017,"NYSGPO_Southwest_spring_2017"
1297,2016,52.9174999917355,4,2017,"NYSGPO_Southwest_spring_2017"
3750,2016,87.9079978122159,4,2017,"NYSGPO_Southwest_spring_2017"
5755,2015,49.3039608758407,4,2017,"NYSGPO_Southwest_spring_2017"
399,2015,175.300009085361,4,2017,"NYSGPO_Southwest_spring_2017"
5347,2016,236.516263624451,4,2017,"NYSGPO_Southwest_spring_2017"
2644,2016,0,2,2017,"NYSGPO_Southwest_spring_2017"
5160,2019,41.9298927758954,4,2017,"NYSGPO_Southwest_spring_2017"
969,2016,110.478886882294,4,2017,"NYSGPO_Southwest_spring_2017"
2449,2016,0,2,2017,"NYSGPO_Southwest_spring_2017"
2246,2016,0,2,2017,"NYSGPO_Southwest_spring_2017"
2425,2016,204.37010019124,4,2017,"NYSGPO_Southwest_spring_2017"
4218,2016,136.792949331121,4,2017,"NYSGPO_Southwest_spring_2017"
6352,2016,0,2,2017,"NYSGPO_Southwest_spring_2017"
4562,2018,0,2,2017,"NYSGPO_Southwest_spring_2017"
1617,2018,108.181135630822,4,2017,"NYSGPO_Southwest_spring_2017"
1722,2018,177.214378773603,4,2017,"NYSGPO_Southwest_spring_2017"
1611,2016,74.0261663623811,4,2017,"NYSGPO_Southwest_spring_2017"
5120,2016,237.127868700282,4,2017,"NYSGPO_Southwest_spring_2017"
6334,2016,206.713857366017,4,2017,"NYSGPO_Southwest_spring_2017"
5586,2016,0,2,2017,"NYSGPO_Southwest_spring_2017"
2863,2018,231.827826641231,4,2017,"NYSGPO_Southwest_spring_2017"
2869,2016,5.91082801512522,4,2017,"NYSGPO_Southwest_spring_2017"
1726,2016,68.9441306097903,6,2017,"NYSGPO_Southwest_spring_2017"
6345,2018,0,2,2017,"NYSGPO_Southwest_spring_2017"
3782,2018,98.2891250442674,4,2017,"NYSGPO_Southwest_spring_2017"
1871,2018,310.852459215739,4,2017,"NYSGPO_Southwest_spring_2017"
4328,2018,149.501788987324,4,2017,"NYSGPO_Southwest_spring_2017"
2696,2015,170.003849479248,4,2017,"NYSGPO_Southwest_spring_2017"
2330,2015,0,4,2017,"NYSGPO_Southwest_spring_2017"
2237,2015,0.458204684123454,2,2017,"NYSGPO_Southwest_spring_2017"
5078,2018,0,2,2017,"NYSGPO_Southwest_spring_2017"
1689,2018,35.4338453106775,4,2017,"NYSGPO_Southwest_spring_2017"
6373,2018,0,2,2017,"NYSGPO_Southwest_spring_2017"
4217,2015,162.193107352561,3,2017,"NYSGPO_Southwest_spring_2017"
5512,2016,173.013205276506,4,2017,"NYSGPO_Southwest_spring_2017"
1359,2015,203.579053083068,4,2017,"NYSGPO_Southwest_spring_2017"
4487,2018,140.441655487123,4,2017,"NYSGPO_Southwest_spring_2017"
759,2018,80.9147310634473,4,2017,"NYSGPO_Southwest_spring_2017"
5954,2018,298.800802816742,4,2017,"NYSGPO_Southwest_spring_2017"
129,2018,58.5198312978298,4,2017,"NYSGPO_Southwest_spring_2017"
1632,2018,0,2,2017,"NYSGPO_Southwest_spring_2017"
4058,2015,175.740810825421,4,2017,"NYSGPO_Southwest_spring_2017"
4074,2015,0,6,2017,"NYSGPO_Southwest_spring_2017"
3660,2018,108.451868784217,4,2017,"NYSGPO_Southwest_spring_2017"
4311,2015,0,2,2017,"NYSGPO_Southwest_spring_2017"
4387,2015,0,4,2017,"NYSGPO_Southwest_spring_2017"
6036,2015,202.473175112995,4,2017,"NYSGPO_Southwest_spring_2017"
1743,2015,0,2,2017,"NYSGPO_Southwest_spring_2017"
698,2015,221.367777600145,6,2017,"NYSGPO_Southwest_spring_2017"
5922,2015,0,2,2017,"NYSGPO_Southwest_spring_2017"
1547,2016,199.19438453815,4,2017,"NYSGPO_Southwest_spring_2017"
2634,2018,0,4,2017,"NYSGPO_Southwest_spring_2017"
37,2015,41.7506555184334,4,2017,"NYSGPO_Southwest_spring_2017"
6219,2015,63.0805083646679,4,2017,"NYSGPO_Southwest_spring_2017"
691,2019,0,2,2017,"NYSGPO_Southwest_spring_2017"
6369,2019,204.147003531214,4,2017,"NYSGPO_Southwest_spring_2017"
6199,2019,148.479155162756,4,2017,"NYSGPO_Southwest_spring_2017"
164,2019,0,2,2017,"NYSGPO_Southwest_spring_2017"
750,2019,223.71161005286,4,2017,"NYSGPO_Southwest_spring_2017"
2950,2019,299.891872941759,4,2017,"NYSGPO_Southwest_spring_2017"
112,2019,110.998944952788,4,2017,"NYSGPO_Southwest_spring_2017"
6332,2019,80.6623452684684,2,2017,"NYSGPO_Southwest_spring_2017"
874,2019,14.3411337348693,6,2017,"NYSGPO_Southwest_spring_2017"
3154,2019,0,4,2017,"NYSGPO_Southwest_spring_2017"
3918,2019,0,2,2017,"NYSGPO_Southwest_spring_2017"
4513,2019,0,2,2017,"NYSGPO_Southwest_spring_2017"
6041,2019,0,2,2017,"NYSGPO_Southwest_spring_2017"
6473,2019,65.1426756546963,4,2017,"NYSGPO_Southwest_spring_2017"
2026,2019,65.5773022159431,4,2017,"NYSGPO_Southwest_spring_2017"
6489,2019,7.98906646376506,2,2017,"NYSGPO_Southwest_spring_2017"
3081,2019,141.513727605455,4,2017,"NYSGPO_Southwest_spring_2017"
1143,2019,1.38307990647773,4,2017,"NYSGPO_Southwest_spring_2017"
