"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
88,2013,96.9728948814839,4,2014,"USGS_LongIsland2014"
1109,2016,0,6,2014,"USGS_LongIsland2014"
1889,2016,79.5591415201833,4,2014,"USGS_LongIsland2014"
8327,2015,0,3,2014,"USGS_LongIsland2014"
2829,2016,33.6934197413241,6,2014,"USGS_LongIsland2014"
3277,2015,0,4,2014,"USGS_LongIsland2014"
3875,2015,0,2,2014,"USGS_LongIsland2014"
4077,2016,0,2,2014,"USGS_LongIsland2014"
1250,2015,58.1244931089219,4,2014,"USGS_LongIsland2014"
878,2013,6.31266446415705,4,2014,"USGS_LongIsland2014"
1358,2012,120.205382651097,4,2014,"USGS_LongIsland2014"
558,2012,22.7206159590903,4,2014,"USGS_LongIsland2014"
