"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
1515,2015,0,2,2014,"USGS_Schoharie2014"
4534,2013,91.7846367231537,4,2014,"USGS_Schoharie2014"
6700,2016,0,2,2014,"USGS_Schoharie2014"
2831,2013,148.918312612739,4,2014,"USGS_Schoharie2014"
961,2013,0,2,2014,"USGS_Schoharie2014"
1694,2016,0,2,2014,"USGS_Schoharie2014"
2167,2016,65.6633978169118,2,2014,"USGS_Schoharie2014"
500,2016,0,2,2014,"USGS_Schoharie2014"
5689,2015,105.196090128828,4,2014,"USGS_Schoharie2014"
6210,2015,0,4,2014,"USGS_Schoharie2014"
5642,2013,0,2,2014,"USGS_Schoharie2014"
907,2013,133.925867859737,4,2014,"USGS_Schoharie2014"
1375,2013,0,2,2014,"USGS_Schoharie2014"
4289,2015,156.895420575624,4,2014,"USGS_Schoharie2014"
1738,2013,42.8688866724281,4,2014,"USGS_Schoharie2014"
3068,2013,0,2,2014,"USGS_Schoharie2014"
553,2015,0,2,2014,"USGS_Schoharie2014"
2117,2016,0,2,2014,"USGS_Schoharie2014"
4291,2015,0,2,2014,"USGS_Schoharie2014"
1203,2015,137.351043900486,4,2014,"USGS_Schoharie2014"
5295,2015,200.880131329252,4,2014,"USGS_Schoharie2014"
4688,2013,52.947706708099,4,2014,"USGS_Schoharie2014"
6590,2015,0,2,2014,"USGS_Schoharie2014"
5736,2012,0,2,2014,"USGS_Schoharie2014"
1716,2012,9.23016406341213,4,2014,"USGS_Schoharie2014"
3484,2012,0,2,2014,"USGS_Schoharie2014"
4013,2012,244.958706380602,4,2014,"USGS_Schoharie2014"
3417,2012,0,2,2014,"USGS_Schoharie2014"
4097,2012,99.020006583793,4,2014,"USGS_Schoharie2014"
4615,2013,168.490047800027,4,2014,"USGS_Schoharie2014"
4899,2012,0,2,2014,"USGS_Schoharie2014"
809,2012,130.644068427035,4,2014,"USGS_Schoharie2014"
1810,2012,16.5503211796076,2,2014,"USGS_Schoharie2014"
4725,2012,0,2,2014,"USGS_Schoharie2014"
3411,2013,170.065450529382,4,2014,"USGS_Schoharie2014"
1360,2012,163.311900291781,4,2014,"USGS_Schoharie2014"
3849,2012,139.267933618903,4,2014,"USGS_Schoharie2014"
1071,2012,0,2,2014,"USGS_Schoharie2014"
2350,2012,103.906675100989,4,2014,"USGS_Schoharie2014"
6452,2012,0,2,2014,"USGS_Schoharie2014"
